#space_1 ell_1 scale_1 space_2 ell_2 scale_2 covariance
0 0 0.065259 0 2 0.045364 -24847.6
0 0 0.065259 0 2 0.055298 34589.24
0 0 0.065259 0 2 0.065259 -70262.67
0 0 0.065259 0 2 0.075226 27089.08
0 0 0.065259 0 2 0.0852 -4354.131
0 0 0.065259 0 2 0.095179 -8727.487
0 0 0.065259 0 2 0.105167 -7244.208
0 0 0.065259 0 2 0.115153 -7917.068
0 0 0.065259 0 2 0.125138 6030.439
0 0 0.065259 0 2 0.135129 -70.52682
0 0 0.065259 0 2 0.145115 -1185.607
0 0 0.065259 0 2 0.15511 -712.9065
0 0 0.065259 0 2 0.165106 6563.446
0 0 0.065259 0 2 0.175099 2279.87
0 0 0.065259 0 2 0.185092 2406.28
0 0 0.065259 0 2 0.195086 -1578.777
0 0 0.065259 0 2 0.205085 1405.48
0 0 0.065259 0 2 0.215079 -703.4162
0 0 0.065259 0 2 0.225074 28.98073
0 0 0.065259 0 2 0.235071 -1055.909
0 0 0.065259 0 2 0.245068 727.4722
0 0 0.065259 0 2 0.255064 337.5143
0 0 0.065259 0 2 0.265062 2634.318
0 0 0.065259 0 2 0.275059 -909.0638
0 0 0.065259 0 2 0.285055 -705.0445
0 0 0.065259 0 2 0.295057 -253.7069
0 0 0.065259 0 2 0.305058 -685.0667
0 0 0.065259 0 2 0.315054 904.5176
0 0 0.075226 0 0 0.007493 51633.8
0 0 0.075226 0 0 0.016066 82446.82
0 0 0.075226 0 0 0.025663 23213.65
0 0 0.075226 0 0 0.035474 -21875.01
0 0 0.075226 0 0 0.045364 1471.284
0 0 0.075226 0 0 0.055298 6272.643
0 0 0.075226 0 0 0.065259 29948.74
0 0 0.075226 0 0 0.075226 148550.8
0 0 0.075226 0 0 0.0852 29336.09
0 0 0.075226 0 0 0.095179 4546.262
0 0 0.075226 0 0 0.105167 449.5061
0 0 0.075226 0 0 0.115153 1549.406
0 0 0.075226 0 0 0.125138 709.9185
0 0 0.075226 0 0 0.135129 2007.882
0 0 0.075226 0 0 0.145115 1392.516
0 0 0.075226 0 0 0.15511 2059.29
0 0 0.075226 0 0 0.165106 1805.253
